state,x,y
Andhra Pradesh,-53.0,-136.0
Arunachal Pradesh,196.0,141.0
Assam,176.0,99.0
Bihar,56.0,77.0
Chhattisgarh,-5.0,7.0
Goa,-152.0,-116.0
Gujarat,-192.0,26.0
Haryana,-101.0,142.0
Himachal Pradesh,-89.0,195.0
Jharkhand,43.0,40.0
Karnataka,-119.0,-132.0
Kerala,-114.0,-215.0
Madhya Pradesh,-77.0,33.0
Maharashtra,-119.0,-37.0
Manipur,194.0,73.0
Meghalaya,151.0,80.0
Mizoram,178.0,43.0
Nagaland,201.0,95.0
Odisha,39.0,-17.0
Punjab,-129.0,168.0
Rajasthan,-161.0,97.0
Sikkim,98.0,117.0
Tamil Nadu,-74.0,-209.0
Telangana,-57.0,-66.0
Tripura,157.0,48.0
Uttar Pradesh,-35.0,103.0
Uttarakhand,-57.0,160.0
West Bengal,93.0,33.0
Jammu And Kashmir,-123.0,226.0
Ladakh,-87.0,249.0
Andaman And Nicobar Islands,196.0,-162.0
Chandigarh,-97.0,171.0
Dadra and Nagar Haveli and Daman and Diu,-169.0,-20.0
Lakshadweep,-188.0,-196.0
Delhi,-90.0,132.0
Puducherry,-46.0,-180.0

